Arrival_Date,Modal_Price
2017-11-30,2982.7390966831335
2017-12-31,3254.383982202447
2018-01-31,3214.431790846363
2018-02-28,2377.1864360429345
2018-03-31,1558.9512825360812
2018-04-30,1161.7032439476031
2018-05-31,1054.3630504833513
2018-06-30,1203.3071138617156
2018-07-31,1619.6834794853742
2018-08-31,1549.905598174095
2018-09-30,1359.0784638938505
2018-10-31,1471.2939432176656
2018-11-30,1507.1603651474895
2018-12-31,1152.9109299516908
2019-01-31,1049.2777343044604
2019-02-28,959.6657398212512
2019-03-31,959.356736644685
2019-04-30,980.7198357548957
2019-05-31,1120.2217632552404
2019-06-30,1326.4629100019272
2019-07-31,1537.8506903958269
2019-08-31,1881.1434332921356
2019-09-30,2864.2279014252617
2019-10-31,3418.8878050510784
2019-11-30,4294.761065749893
2019-12-31,5659.18199466149
2020-01-31,4501.828104530097
2020-02-29,2670.7531650310884
2020-03-31,2195.471175257732
2020-04-30,1780.285227664712
2020-05-31,1241.516937566459
2020-06-30,1204.3201170604812
2020-07-31,1292.108843537415
2020-08-31,1398.378547416152
2020-09-30,2280.6161487899612
2020-10-31,3704.4408150321096
2020-11-30,4174.008974160606
2020-12-31,2933.588395045373
2021-01-31,2745.836459317231
2021-02-28,3255.5627463627893
2021-03-31,2252.493790807835
2021-04-30,1530.0792298883482
2021-05-31,1641.0153400641777
2021-06-30,2011.2960424028267
2021-07-31,2160.990240596408
2021-08-31,2075.61852367688
2021-09-30,1958.3528545612744
2021-10-31,2741.5825610783486
2021-11-30,2636.398960780127
2021-12-31,2297.7183220769566
2022-01-31,2401.023417684186
2022-02-28,2459.5306983189735
2022-03-31,2045.713917387334
2022-04-30,1490.4274920320915
2022-05-31,1375.9442367342417
2022-06-30,1482.7890834401585
2022-07-31,1623.6684860672221
2022-08-31,1657.169471851422
2022-09-30,1639.5934085301374
2022-10-31,1898.7703858698997
2022-11-30,2114.8892842559644
2022-12-31,1866.7928829580205
2023-01-31,1819.9446673161785
2023-02-28,1547.571385668809
2023-03-31,1367.6514410325926
2023-04-30,1290.1131009615385
2023-05-31,1338.1381243547091
2023-06-30,1469.1651155552995
2023-07-31,1750.2986988463526
2023-08-31,2117.2934244250687
2023-09-30,2331.4781926544447
2023-10-31,2828.2461606082206
2023-11-30,4089.9181550121
2023-12-31,3160.386544306757
2024-01-31,2220.8876552841625
2024-02-29,1854.4338344011828
2024-03-31,1951.203478523896
2024-04-30,1896.2872372726083
2024-05-31,1916.8753848288109
2024-06-30,2203.6739800601363
2024-07-31,3487.9840022151775
2024-08-31,3957.5781856946865
2024-09-30,4492.432254707445
2024-10-31,4785.466724258611
2024-11-30,5076.423157317885
2024-12-31,38154.079809265306
2025-01-31,3965.352358043879
2025-02-28,3547.349007878171
2025-03-31,2980.3657124645893
2025-04-30,2392.7979991490265
2025-05-31,2368.0614428184654
2025-06-30,2638.953470856934
2025-07-31,2595.614503621491
2025-08-31,2431.6045634757984
2025-09-30,2361.8139153808274
2025-10-31,2386.435798265526
2025-11-30,2609.786943620178
2025-12-31,3107.862929343102
2026-01-31,2930.2102754285715
2026-02-28,2452.6592469879515
